,0
0,2
1,2
2,2
3,2
4,2
5,2
6,1
7,1
8,2
9,1
10,2
11,0
12,1
13,2
14,1
15,2
16,1
17,1
18,1
19,1
20,2
21,1
22,2
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,2
32,1
33,1
34,1
35,1
36,1
37,1
38,2
39,1
40,2
41,2
42,2
43,2
44,1
45,1
46,2
47,0
48,1
49,2
50,2
51,1
52,2
53,2
54,1
55,0
56,0
57,2
58,2
59,0
60,1
61,1
62,0
63,1
64,0
65,1
66,2
67,2
68,2
69,1
70,1
71,2
72,1
73,0
74,1
75,2
76,1
77,2
78,2
79,1
80,0
81,1
82,1
83,1
84,2
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,2
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,2
103,2
104,2
105,2
106,1
107,0
108,2
109,2
110,2
111,2
112,2
113,0
114,2
115,1
116,1
117,2
118,2
119,1
120,1
121,1
122,1
123,2
124,2
125,2
126,0
127,2
128,1
129,0
130,0
131,2
132,1
133,1
134,1
135,2
136,1
137,1
138,2
139,1
140,1
141,1
142,1
143,2
144,1
145,2
146,2
147,1
148,2
149,1
150,1
151,2
152,0
153,1
154,1
155,2
156,0
157,0
158,2
159,1
160,1
161,1
162,1
163,1
164,1
165,2
166,2
167,2
168,1
169,1
170,2
171,1
172,2
173,1
174,1
175,0
176,1
177,2
178,2
179,1
180,2
181,2
182,1
183,0
184,1
185,1
186,0
187,1
188,2
189,2
190,1
191,1
192,2
193,1
194,2
195,1
196,2
197,2
198,1
199,1
200,1
201,1
202,0
203,2
204,1
205,2
206,1
207,2
208,2
209,1
210,1
211,2
212,1
213,1
214,0
215,2
216,2
217,2
218,0
219,2
220,1
221,2
222,1
223,1
224,2
225,2
226,1
227,1
228,1
229,2
230,0
231,2
232,2
233,0
234,2
235,2
236,0
237,1
238,1
239,2
240,2
241,2
242,1
243,2
244,2
245,1
246,2
247,2
248,0
249,1
250,1
251,1
252,0
253,1
254,2
255,1
256,0
257,0
258,1
259,0
260,1
261,2
262,2
263,1
264,2
265,2
266,1
267,2
268,2
269,1
270,1
271,2
272,1
273,2
274,1
275,1
276,0
277,2
278,1
279,1
280,2
281,2
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,2
290,1
291,2
292,2
293,0
294,0
295,2
296,1
297,2
298,2
299,1
300,1
301,1
302,1
303,1
304,2
305,0
306,2
307,2
308,2
309,1
310,2
311,1
312,1
313,1
314,1
315,1
316,2
317,1
318,1
319,2
320,1
321,1
322,1
323,2
324,1
325,1
326,1
327,1
328,1
329,1
330,2
331,1
332,1
333,1
334,1
335,1
336,1
337,2
338,2
339,1
340,1
341,1
342,0
343,2
344,0
345,2
346,2
347,2
348,1
349,2
350,1
351,2
352,2
353,1
354,1
355,2
356,1
357,2
358,2
359,1
360,1
361,1
362,1
363,2
364,1
365,2
366,2
367,2
368,1
369,2
370,2
371,2
372,2
373,1
374,2
375,1
376,1
377,1
378,2
379,2
380,2
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,2
392,1
393,2
394,2
395,2
396,1
397,2
398,2
399,1
400,1
401,1
402,0
403,2
404,0
405,1
406,1
407,2
408,2
409,2
410,2
411,2
412,1
413,1
414,2
415,1
416,1
417,1
418,0
419,2
420,1
421,2
422,1
423,1
424,2
425,1
426,1
427,1
428,2
429,2
430,2
431,1
432,0
433,2
434,2
435,2
436,1
437,1
438,2
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,2
449,2
450,2
451,0
452,2
453,2
454,2
455,1
456,1
457,0
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,2
470,1
471,2
472,1
473,1
474,1
475,2
476,2
477,2
478,1
479,2
480,1
481,1
482,1
483,1
484,1
485,0
486,0
487,2
488,1
489,1
490,1
491,2
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,2
500,0
501,2
502,1
503,1
504,1
505,1
506,1
507,1
508,2
509,2
510,1
511,2
